Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Dist.,0-3,3-10,10-16,16-3P,2P.1,0-3.1,3-10.1,10-16.1,16-3P.1,3P.1,2P.2,3P.2,%FGA,#,%3PA,Att.,Md.
1,Joel Embiid,27,PHI,C,68,68,33.8,9.8,19.6,0.499,1.4,3.7,0.371,8.4,15.9,0.529,0.534,9.6,11.8,0.814,2.1,9.6,11.7,4.2,1.1,1.5,3.1,2.7,30.6,MVP-2ASNBA2,embiijo01,31.2,0.616,0.188,0.602,7.2,31.1,19.4,23.5,1.7,3.9,11.3,37.2,7.9,4.1,12.0,0.252,7.2,2.0,9.2,6.5,11.9,0.253,0.194,0.24,0.124,0.529,0.763,0.409,0.431,0.428,0.371,0.513,0.71,0.06,74,0.048,1,0
2,LeBron James,37,LAL,C,56,56,37.2,11.4,21.8,0.524,2.9,8.0,0.359,8.6,13.8,0.62,0.59,4.5,6.0,0.756,1.1,7.1,8.2,6.2,1.3,1.1,3.5,2.2,30.3,MVP-10ASNBA3,jamesle01,26.2,0.619,0.367,0.275,3.3,20.4,11.8,30.6,1.7,2.5,12.5,32.3,5.2,2.3,7.5,0.172,6.9,0.8,7.7,5.1,13.8,0.325,0.141,0.073,0.094,0.62,0.796,0.465,0.382,0.426,0.359,0.407,0.559,0.07,85,0.074,0,0
3,Giannis Antetokounmpo,27,MIL,PF,67,67,32.9,10.3,18.6,0.553,1.1,3.6,0.293,9.2,15.0,0.616,0.582,8.3,11.4,0.722,2.0,9.6,11.6,5.8,1.1,1.4,3.3,3.2,29.9,MVP-3DPOY-6ASNBA1DEF1,antetgi01,32.1,0.633,0.194,0.615,6.6,30.4,18.7,31.7,1.6,4.0,12.2,34.9,9.2,3.7,12.9,0.281,7.6,3.5,11.2,7.4,9.8,0.399,0.194,0.119,0.08,0.616,0.805,0.419,0.419,0.43,0.293,0.426,0.423,0.147,174,0.025,2,0
4,Kevin Durant,33,BRK,PF,55,55,37.2,10.5,20.3,0.518,2.1,5.5,0.383,8.4,14.8,0.568,0.57,6.8,7.4,0.91,0.5,6.9,7.4,6.4,0.9,0.9,3.5,2.1,29.9,MVP-10ASNBA2,duranke01,25.6,0.634,0.269,0.367,1.6,19.6,10.8,29.1,1.1,2.3,12.9,31.2,6.4,2.0,8.4,0.198,6.4,0.7,7.2,4.8,14.9,0.105,0.141,0.313,0.16,0.568,0.744,0.516,0.53,0.579,0.383,0.492,0.548,0.032,33,0.067,0,0
5,Luka Dončić,22,DAL,PG,65,65,35.4,9.9,21.6,0.457,3.1,8.8,0.353,6.8,12.8,0.528,0.529,5.6,7.5,0.744,0.9,8.3,9.1,8.7,1.2,0.6,4.5,2.2,28.4,MVP-5ASNBA1,doncilu01,25.1,0.571,0.406,0.349,2.7,26.0,14.3,46.0,1.6,1.4,15.3,37.4,3.8,3.8,7.6,0.159,6.4,1.8,8.2,5.9,15.9,0.128,0.239,0.165,0.062,0.528,0.778,0.499,0.44,0.356,0.353,0.107,0.219,0.006,7,0.049,2,0
6,Trae Young,23,ATL,PG,76,76,34.9,9.4,20.3,0.46,3.1,8.0,0.382,6.3,12.3,0.512,0.536,6.6,7.3,0.904,0.7,3.1,3.7,9.7,0.9,0.1,4.0,1.7,28.4,ASNBA3,youngtr01,25.4,0.603,0.395,0.358,2.1,9.6,5.9,46.7,1.3,0.2,14.5,34.4,9.0,1.0,10.0,0.181,7.1,-2.0,5.2,4.8,16.3,0.155,0.199,0.113,0.124,0.512,0.619,0.451,0.463,0.518,0.382,0.138,0.219,0.0,0,0.048,1,0
7,DeMar DeRozan,32,CHI,PF,76,76,36.1,10.2,20.2,0.504,0.7,1.9,0.352,9.5,18.3,0.52,0.521,6.8,7.8,0.877,0.7,4.4,5.2,4.9,0.9,0.3,2.4,2.3,27.9,MVP-10ASNBA2,derozde01,23.1,0.59,0.093,0.386,2.3,13.7,8.0,23.3,1.2,0.8,9.2,31.8,7.0,1.8,8.8,0.154,3.4,-0.9,2.5,3.1,13.0,0.164,0.158,0.297,0.288,0.52,0.671,0.494,0.511,0.457,0.352,0.217,0.9,0.026,33,0.387,4,0
8,Kyrie Irving,29,BRK,PG,29,29,37.6,10.0,21.2,0.469,3.4,8.2,0.418,6.5,13.0,0.501,0.55,4.1,4.4,0.915,0.6,3.8,4.4,5.8,1.4,0.6,2.5,2.8,27.4,,irvinky01,21.4,0.592,0.388,0.209,1.6,10.8,6.3,25.2,1.8,1.4,9.8,29.4,2.4,0.9,3.3,0.147,4.2,-1.2,3.0,1.4,16.5,0.093,0.188,0.203,0.128,0.501,0.702,0.543,0.432,0.405,0.418,0.233,0.59,0.002,1,0.146,0,0
9,Ja Morant,22,MEM,PG,57,57,33.1,10.2,20.6,0.493,1.5,4.5,0.344,8.6,16.2,0.534,0.53,5.5,7.3,0.761,1.4,4.4,5.7,6.7,1.2,0.4,3.4,1.5,27.4,MVP-7MIP-1ASNBA2,moranja01,24.4,0.575,0.218,0.353,4.2,14.1,9.0,34.1,1.7,1.0,12.6,33.7,4.6,2.1,6.7,0.171,6.2,-0.1,6.1,3.9,10.1,0.33,0.29,0.134,0.024,0.534,0.709,0.434,0.38,0.25,0.344,0.248,0.477,0.057,58,0.082,3,0
10,Nikola Jokić,26,DEN,C,74,74,33.5,10.3,17.7,0.583,1.3,3.9,0.337,9.0,13.8,0.652,0.62,5.1,6.3,0.81,2.8,11.0,13.8,7.9,1.5,0.9,3.8,2.6,27.1,MVP-1ASNBA1,jokicni01,32.8,0.661,0.22,0.357,9.6,35.5,23.0,42.6,2.2,2.3,15.6,31.9,10.8,4.5,15.2,0.296,9.2,4.5,13.7,9.8,10.2,0.268,0.384,0.082,0.046,0.652,0.776,0.606,0.565,0.467,0.337,0.58,0.918,0.025,31,0.038,3,0
